variable,har_variable,code,label,d_code
V1006,area_class,1,Urbana,10
V1006,area_class,2,Rural,20
V4002,dwelling_type,11,Casa,10
V4002,dwelling_type,12,Casa de vila ou em condomínio,12
V4002,dwelling_type,13,Apartamento,20
V4002,dwelling_type,15,Oca ou maloca,32
V4002,dwelling_type,64,"Penitenciária, presídio ou casa de detenção com morador",40
V4002,dwelling_type,53,"Outro (vagão, trailer, gruta, etc)",50
V4002,dwelling_type,65,65- Outro com morador,51
V4002,dwelling_type,14,"Habitação em: casa de cômodos, cortiço ou cabeça de porco",53
V4002,dwelling_type,63,Alojamento de trabalhadores com morador,59
V4002,dwelling_type,51,Tenda ou barraca,514
V4002,dwelling_type,52,Dentro de estabelecimento,515
V4002,dwelling_type,62,"Hotel, pensão e similares com morador",516
V4002,dwelling_type,61,"Asilo, orfanato e similares  com morador",517
V4001,occupation_status,1,Domicílio particular permanente ocupado ,11
V4001,occupation_status,2,Domicílio particular permanente ocupado sem entrevista realizada,12
V4001,occupation_status,5,Domicílio particular improvisado ocupado,13
V4001,occupation_status,6,Domicílio coletivo com morador,14
V0202,wall_material,1,1- Alvenaria com revestimento,13
V0202,wall_material,2,2- Alvenaria sem revestimento,14
V0202,wall_material,3,3- Madeira apropriada para construção (aparelhada),17
V0202,wall_material,4,4- Taipa revestida,24
V0202,wall_material,5,5- Taipa não revestida,25
V0202,wall_material,6,6- Madeira aproveitada,30
V0202,wall_material,7,7- Palha,41
V0202,wall_material,8,8- Outro material,50
V0202,wall_material,9,9- Sem parede,52
V0211,electric_service,1,"1- Sim, de companhia distribuidora",11
V0211,electric_service,2,"2- Sim, de outras fontes",12
V0211,electric_service,3,3- Não existe energia elétrica,20
V0209,water_service,1,"1- Sim, em pelo menos um cômodo",11
V0209,water_service,2,"2- Sim, só na propriedade ou terreno",12
V0209,water_service,3,3- Não,20
V0208,water_source_type,1,01- Rede geral de distribuição,10
V0208,water_source_type,2,02- Poço ou nascente na propriedade,23
V0208,water_source_type,3,03- Poço ou nascente fora da propriedade,24
V0208,water_source_type,9,09- Poço ou nascente na aldeia,25
V0208,water_source_type,10,10- Poço ou nascente fora da aldeia,26
V0208,water_source_type,7,"07- Rios, açudes, lagos e igarapés",31
V0208,water_source_type,4,04- Carro-pipa,40
V0208,water_source_type,6,06- Água da chuva armazenada de outra forma,50
V0208,water_source_type,5,05- Água da chuva armazenada em cisterna,51
V0208,water_source_type,8,08- Outra,60
V0206,sewerage_serice,1,Sim,10
V0206,sewerage_serice,2,Nao,20
V0207,sewerage_type,1,1- Rede geral de esgoto ou pluvial,10
V0207,sewerage_type,2,2- Fossa séptica,20
V0207,sewerage_type,3,3- Fossa rudimentar,21
V0207,sewerage_type,4,4- Vala,30
V0207,sewerage_type,5,"5- Rio, lago ou mar",40
V0207,sewerage_type,6,6- Outro,50
V7051,age_deceased,,,
V0220,internet_service,1,Sim,10
V0220,internet_service,2,Nao,20
V0201,dwelling_ownership,1,1- Próprio de algum morador - já pago,10
V0201,dwelling_ownership,2,2- Próprio de algum morador - ainda pagando,20
V0201,dwelling_ownership,3,3- Alugado,30
V0201,dwelling_ownership,5,5- Cedido de outra forma,40
V0201,dwelling_ownership,4,4- Cedido por empregador,41
V0201,dwelling_ownership,6,6- Outra condição,50
V0704,sex_deceased,1,Masculino,10
V0704,sex_deceased,2,Femenino,20
V0704,sex_deceased,9,Ignorado,30
V6660,age_last_born_child,,,
V6641,male_alive_child,,,
V6642,female_alive_child,,,
V6643,total_alive_child,,,
V0664,has_alive_child,1,Filhos vivos,10
V0664,has_alive_child,2,Não sabe,20
V6631,male_child,,,
V6632,female_child,,,
V6633  ,total_child_detailed,,,
V0663,had_child,1,1- Teve filhos nascidos vivos ,10
V0663,had_child,2,2- Não teve nenhum filho nascido vivo,20
V0640,marital_status,1,Casado(a),20
V0640,marital_status,3,Divorciado(a),30
V0640,marital_status,2,Desquitado(a) ou separado(a) judicialmente,40
V0640,marital_status,4,Viúvo(a),50
V0640,marital_status,5,Solteiro(a),60
V0601,person_sex,1,Masulino,1
V0602,person_sex,2,Feminino,2
V6036,age,,,
V6037,age_months,,,
V0502,relationship_chief,1,Pessoa responsável pelo domicílio,10
V0502,relationship_chief,2,Cônjuge ou companheiro(a) de sexo diferente,21
V0502,relationship_chief,3,Cônjuge ou companheiro(a) do mesmo sexo,22
V0502,relationship_chief,4,Filho(a) do responsável e do cônjuge,31
V0502,relationship_chief,5,Filho(a) somente do responsável,32
V0502,relationship_chief,6,Enteado(a),33
V0502,relationship_chief,14,Outro parente,40
V0502,relationship_chief,7,Genro ou nora,41
V0502,relationship_chief,8,"Pai, mãe, padrasto ou madrasta",42
V0502,relationship_chief,9,Sogro(a),43
V0502,relationship_chief,10,Neto(a),44
V0502,relationship_chief,11,Bisneto(a),45
V0502,relationship_chief,12,Irmão ou irmã,46
V0502,relationship_chief,13,Avô ou avó,47
V0502,relationship_chief,15,Agregado(a),51
V0502,relationship_chief,16,Convivente,52
V0502,relationship_chief,17,Pensionista,53
V0502,relationship_chief,18,Empregado(a) doméstico(a),54
V0502,relationship_chief,19,Parente do(a) empregado(a) doméstico(a),55
V0502,relationship_chief,20,Individual em domicílio coletivo,56
V0606,ethnic_group,5,Indígena,10
V0606,ethnic_group,2,Preta,20
V0606,ethnic_group,3,Amarela,31
V0606,ethnic_group,4,Parda,32
V0606,ethnic_group,1,Branca,34
V0606,ethnic_group,9,Ignorado,50
V0649,company_number_employees,,,
V0618,born_admin_2,1,Sim e sempre morou,11
V0618,born_admin_2,2,Sim mas morou em outro município ou país estrangeiro,12
V0618,born_admin_2,3,Não,20
V6222,born_admin_1,,,
V0626,first_div_5_years,1,UF/Município,10
V0626,first_div_5_years,2,País estrangeiro,21
vision_disability,V0614,1,"Sim, não consegue de modo algum",11
vision_disability,V0614,2,"Sim, grande dificuldade",12
vision_disability,V0614,3,"Sim, alguma dificuldade",13
vision_disability,V0614,4,"Não, nenhuma dificuldade",20
vision_disability,V0614,9,Ignorado,30
hearing_disability,V0615,1,"Sim, não consegue de modo algum",11
hearing_disability,V0615,2,"Sim, grande dificuldade",12
hearing_disability,V0615,3,"Sim, alguma dificuldade",13
hearing_disability,V0615,4,"Não, nenhuma dificuldade",20
hearing_disability,V0615,9,Ignorado,30
walking_disability,V0616,1,"Sim, não consegue de modo algum",11
walking_disability,V0616,2,"Sim, grande dificuldade",12
walking_disability,V0616,3,"Sim, alguma dificuldade",13
walking_disability,V0616,4,"Não, nenhuma dificuldade",20
walking_disability,V0616,9,Ignorado,30
mental_disability,V0617,1,"Sim, não consegue de modo algum",11
mental_disability,V0617,2,"Sim, grande dificuldade",12
mental_disability,V0617,3,"Sim, alguma dificuldade",13
mental_disability,V0617,4,"Não, nenhuma dificuldade",20
mental_disability,V0617,9,Ignorado,30
literacy,V0627,1,Sim,10
literacy,V0627,2,Não,20
school_education,V0628,1,"Sim, pública",11
school_education,V0628,2,"Sim, particular",12
school_education,V0628,3,"Não, já frequentou",21
school_education,V0628,4,"Não, nunca frequentou",22
last_education_level,V0633,1,"Creche, pré-escolar (maternal e jardim de infância), classe de alfabetização",10
last_education_level,V0633,5,Ensino fundamental ou 1º grau (da 1ª a 3ª série/ do 1º ao 4º ano),21
last_education_level,V0633,6,Ensino fundamental ou 1º grau (4ª série/ 5º ano),22
last_education_level,V0633,7,Ensino fundamental ou 1º grau (da 5ª a 8ª série/ 6º ao 9º ano),23
last_education_level,V0633,3,Antigo primário (elementar),24
last_education_level,V0633,8,Supletivo do ensino fundamental ou do 1º grau,25
last_education_level,V0633,10,Regular ou supletivo do ensino médio ou do 2º grau,30
last_education_level,V0633,4,Antigo ginásio (médio 1º ciclo),31
last_education_level,V0633,9,"Antigo científico, clássico, etc.....(médio 2º ciclo)",41
last_education_level,V0633,11,Superior de graduação,60
last_education_level,V0633,12,Especialização de nível superior ( mínimo de 360 horas ),71
last_education_level,V0633,13,Mestrado,72
last_education_level,V0633,14,Doutorado,73
last_education_level,V0633,2,Alfabetização de jovens e adultos,82
same_ubi_school_living,V0636,1,Neste município,10
same_ubi_school_living,V0636,2,Em outro município,20
same_ubi_school_living,V0636,3,Em país estrangeiro Branco,30
work_level,V0648,1,1- Empregado com carteira de trabalho assinada,1
work_level,V0648,2,"2- Militar do exército, marinha, aeronáutica, policia militar ou corpo de bombeiros",2
work_level,V0648,3,3- Empregado pelo regime jurídico dos funcionários públicos,3
work_level,V0648,4,4-Empregado sem carteira de trabalho assinada,4
work_level,V0648,5,5- Conta própria,5
work_level,V0648,6,6- Empregador,6
work_level,V0648,7,Não remunerado,7
room_number, V0203,,,
bedroom_number,V0204,,,
housing_person_number,V0401,,,
has_tv,V0214,1,1- Sim,1
has_tv,V0214,2,2- Não,2
has_washing_machine,V0215,1,1- Sim,1
has_washing_machine,V0215,2,2- Não,2
has_refrigerator,V0216,1,1- Sim,1
has_refrigerator,V0216,2,2- Não,2
has_mobile_phone,V0217,1,1- Sim,1
has_mobile_phone,V0217,2,2- Não,2
has_phone,V0218,1,1- Sim,1
has_phone,V0218,2,2- Não,2
has_computer,V0219,1,1- Sim,1
has_computer,V0219,2,2- Não,2
has_moto,V0221,1,1- Sim,1
has_moto,V0221,2,2- Não,2
has_car,V0222,1,1- Sim,1
has_car,V0222,2,2- Não,2
people_other_country,V0301,1,1- Sim,1
people_other_country,V0301,2,2- Não,2
id_person,V0504,,,
