variable,har_variable,code,label,d_code
area,area_class,1,urbano,10
area,area_class,2,rural,20
c2_p1,dwelling_type,1,Casa independiente,11
c2_p1,dwelling_type,3,Vivienda en quinta,12
c2_p1,dwelling_type,4,"Vivienda en casa de vecindad (callejón, solar o corralón )",13
c2_p1,dwelling_type,2,Departamento en edificio,20
c2_p1,dwelling_type,5,Choza o cabaña,31
c2_p1,dwelling_type,11,Establecimiento penitenciario,40
c2_p1,dwelling_type,8,Otro tipo de vivienda particular,51
c2_p1,dwelling_type,16,Otro tipo de vivienda colectiva,52
c2_p1,dwelling_type,13,Centro de atención residencial para niñas/os y adolescentes,54
c2_p1,dwelling_type,12,Centro de atención residencial para adultos mayores,55
c2_p1,dwelling_type,14,"Conventos, monasterios o similares",56
c2_p1,dwelling_type,15,"Cuartel, campamento, base de ffaa o pnp",58
c2_p1,dwelling_type,6,Vivienda improvisada,514
c2_p1,dwelling_type,7,Local no destinado para habitación humana,515
c2_p1,dwelling_type,9,"Hotel, hostal, hospedaje, casa pensión",516
c2_p1,dwelling_type,10,Establecimiento de salud,517
c2_p1,dwelling_type,17,En la calle (personas sin vivienda),518
c2_p1,dwelling_type,18,"Garita, puerto, aeropuerto o similares",519
c2_p2,occupation_status,1,"Ocupada, con personas presentes",11
c2_p2,occupation_status,2,"Ocupada, con personas ausentes",12
c2_p2,occupation_status,3,"3: ocupada, de uso ocasional",20
c2_p2,occupation_status,7,"7: desocupada, otra causa",30
c2_p2,occupation_status,4,"4: desocupada, en alquiler o venta",31
c2_p2,occupation_status,5,"5: desocupada, en construcción o reparació",32
c2_p2,occupation_status,6,"6: desocupada, abandonada o cerrada",33
c2_p3,wall_material,1,1: ladrillo o bloque de cemento,12
c2_p3,wall_material,2,2: piedra o sillar con cal o cemento,15
c2_p3,wall_material,6,6: piedra con barro,16
c2_p3,wall_material,3,3: adobe,21
c2_p3,wall_material,4,4: tapia,22
c2_p3,wall_material,5,5: quincha (caña con barro),23
c2_p3,wall_material,7,"7: madera (pona, tornillo etc.)",30
c2_p3,wall_material,8,8: triplay / calamina / estera,40
c2_p3,wall_material,9,9: otro material,50
c2_p5,floor_material,1,1: parquet o madera pulida,10
c2_p5,floor_material,2,"2: láminas asfálticas, vinílicos o similares",22
c2_p5,floor_material,3,"3: losetas, terrazos, cerámicos o similares",23
c2_p5,floor_material,5,5: cemento,30
c2_p5,floor_material,4,"4: madera (pona, tornillo, etc.)",40
c2_p5,floor_material,6,6: tierra,50
c2_p5,floor_material,7,7: otro material,60
c2_p11,electric_service,1,1: si tiene alumbrado eléctrico,10
c2_p11,electric_service,2,2: no tiene alumbrado eléctrico,20
c2_p7,water_service,1,1: si tiene servicio de agua todos los días de la semana,10
c2_p7,water_service,2,2: no tiene servicio de agua todos los días de la semana,20
c2_p6,water_source_type,1,1: red pública dentro de la vivienda,10
c2_p6,water_source_type,2,"2: red pública fuera de la vivienda, pero dentro de la edificación",13
c2_p6,water_source_type,5,5: pozo (agua subterránea),20
c2_p6,water_source_type,7,"7: río, acequia, lago, laguna",31
c2_p6,water_source_type,6,6: manantial o puquio,32
c2_p6,water_source_type,4,4: camión - cisterna u otro similar,40
