Data Source,Variable,Code,Label,Mapped Variable,Mapped Code,Mapped Label,Mapped Detailed Code,Mapped Detailed Label
COC2018,UA_CLASE,1,Cabecera Municipal,area_class,1,Urban,10,Urban (not specified)
COC2018,UA_CLASE,4,Resto Rural,area_class,2,Rural,20,Rural (not specified)
COC2018,UA_CLASE,2,Centro Poblado,area_class,2,Rural,21,Populated center
COC2018,UA_CLASE,3,Rural Disperso,area_class,2,Rural,22,Scattered rural
BRC2010,V1006,1,Urbana,area_class,1,Urban,10,Urban (not specified)
BRC2010,V1006,2,Rural,area_class,2,Rural,20,Rural (not specified)
PEC2017,area,1,urbano,area_class,1,Urban,10,Urban (not specified)
PEC2017,area,2,rural,area_class,2,Rural,20,Rural (not specified)
COC2018,V_TIPO_VIV,1,Casa,dwelling_type,1,House,10,House (not specified)
BRC2010,V4002,11,Casa,dwelling_type,1,House,10,House (not specified)
PEC2017,c2_p1,1,Casa independiente,dwelling_type,1,House,11,House independent
BRC2010,V4002,12,Casa de vila ou em condomínio,dwelling_type,1,House,12,House in condo
PEC2017,c2_p1,3,Vivienda en quinta,dwelling_type,1,House,12,House in condo
PEC2017,c2_p1,4,"Vivienda en casa de vecindad (callejón, solar o corralón )",dwelling_type,1,House,13,House in neighborhood
COC2018,V_TIPO_VIV,2,Apartamento,dwelling_type,2,Apartment,20,Apartment (not specified)
BRC2010,V4002,13,Apartamento,dwelling_type,2,Apartment,20,Apartment (not specified)
PEC2017,c2_p1,2,Departamento en edificio,dwelling_type,2,Apartment,20,Apartment (not specified)
,,,,dwelling_type,3,Tradional dwelling,30,Traditional Dwelling (not specified)
PEC2017,c2_p1,5,Choza o cabaña,dwelling_type,3,Tradional dwelling,31,Hut or cottage
COC2018,V_TIPO_VIV,4,Vivienda tradicional Indigena,dwelling_type,3,Tradional dwelling,32,Indigenous Dwelling
BRC2010,V4002,15,Oca ou maloca,dwelling_type,3,Tradional dwelling,32,Indigenous Dwelling
COC2018,V_TIPO_VIV,5,"Vivienda tradicional Etnica (Afrocolombiana, Isleña, Rrom)",dwelling_type,3,Tradional dwelling,33,Other traditional dwelling
COC2018,L_TIPO_INST,13,Casa de paso indígena,dwelling_type,3,Tradional dwelling,34,Temp indigenous dwelling
COC2019,L_TIPO_INST,1,Centro penitenciario,dwelling_type,4,Penitentiary,40,Penitentiary (not specified)
BRC2010,V4002,64,"Penitenciária, presídio ou casa de detenção com morador",dwelling_type,4,Penitentiary,40,Penitentiary (not specified)
PEC2017,c2_p1,11,Establecimiento penitenciario,dwelling_type,4,Penitentiary,40,Penitentiary (not specified)
COC2018,V_TIPO_VIV,6,"Otro (contenedor, carpa, embarcacion, vagOn, cueva, refugio natural, etc.)",dwelling_type,5,Other,50,Other (not specified)
BRC2010,V4002,53,"Outro (vagão, trailer, gruta, etc)",dwelling_type,5,Other,50,Other (not specified)
BRC2010,V4002,65,65- Outro com morador,dwelling_type,5,Other,51,Other Individual
PEC2017,c2_p1,8,Otro tipo de vivienda particular,dwelling_type,5,Other,51,Other Individual
PEC2018,c2_p1,16,Otro tipo de vivienda colectiva,dwelling_type,5,Other,52,Other Colective
BRC2010,V4002,14,"Habitação em: casa de cômodos, cortiço ou cabeça de porco",dwelling_type,5,Other,53,Room
COC2018,V_TIPO_VIV,3,Tipo cuarto,dwelling_type,5,Other,53,Room
COC2019,L_TIPO_INST,2,"Institución de protección e internado preventivo para niños, niñas y adolescentes",dwelling_type,5,Other,54,Childcare institution
PEC2017,c2_p1,13,Centro de atención residencial para niñas/os y adolescentes,dwelling_type,5,Other,54,Childcare institution
COC2018,L_TIPO_INST,3,Centro de protección y atención al adulto mayor,dwelling_type,5,Other,55,Eldercare institution
PEC2017,c2_p1,12,Centro de atención residencial para adultos mayores,dwelling_type,5,Other,55,Eldercare institution
COC2018,L_TIPO_INST,4,"Convento, seminario, monasterio u otras instituciones similiares",dwelling_type,5,Other,56,Religious Institution
PEC2017,c2_p1,14,"Conventos, monasterios o similares",dwelling_type,5,Other,56,Religious Institution
COC2018,L_TIPO_INST,5,Sede educativa con Población interna,dwelling_type,5,Other,57,Educational Institution
COC2018,L_TIPO_INST,6,"Cuartel, guarnicion militar (Ejército, Armada y Fuerza Aérea)",dwelling_type,5,Other,58,Military or police Institution
PEC2017,c2_p1,15,"Cuartel, campamento, base de ffaa o pnp",dwelling_type,5,Other,58,Military or police Institution
COC2018,L_TIPO_INST,7,"Comando de policía, estacion de policía",dwelling_type,5,Other,58,Military or police Institution
COC2018,L_TIPO_INST,8,Campamento de trabajo,dwelling_type,5,Other,59,Woking camp
BRC2010,V4002,63,Alojamento de trabalhadores com morador,dwelling_type,5,Other,59,Woking camp
COC2018,L_TIPO_INST,510,Brothel,dwelling_type,5,Other,510,Brothel
COC2018,L_TIPO_INST,511,Shelter for displaced persons,dwelling_type,5,Other,511,Shelter for displaced persons
COC2018,L_TIPO_INST,512,Hogar de paz,dwelling_type,5,Other,512,Hogar de paz
COC2018,L_TIPO_INST,513,Rehab center,dwelling_type,5,Other,513,Rehab center
BRC2010,V4002,51,Tenda ou barraca,dwelling_type,5,Other,514,Improvised Tent
PEC2017,c2_p1,6,Vivienda improvisada,dwelling_type,5,Other,514,Improvised Tent
BRC2010,V4002,52,Dentro de estabelecimento,dwelling_type,5,Other,515,Inside a establishment
PEC2017,c2_p1,7,Local no destinado para habitación humana,dwelling_type,5,Other,515,Inside a establishment
BRC2010,V4002,62,"Hotel, pensão e similares com morador",dwelling_type,5,Other,516,Hotel and catering establishment
PEC2017,c2_p1,9,"Hotel, hostal, hospedaje, casa pensión",dwelling_type,5,Other,516,Hotel and catering establishment
BRC2010,V4002,61,"Asilo, orfanato e similares  com morador",dwelling_type,5,Other,517,Health Institution
PEC2017,c2_p1,10,Establecimiento de salud,dwelling_type,5,Other,517,Health Institution
PEC2017,c2_p1,17,En la calle (personas sin vivienda),dwelling_type,5,Other,518,On the street
PEC2017,c2_p1,18,"Garita, puerto, aeropuerto o similares",dwelling_type,5,Other,519,"Gatehouse, port, airport or similar"
